option_price,underlying_price
0.017257,102.000000
0.019586,106.000000
0.027275,110.000000
0.034964,114.000000
0.042653,118.000000
0.050342,122.000000
0.058031,126.000000
0.065720,130.000000
0.073409,134.000000
0.081098,138.000000
0.088787,142.000000
0.096477,146.000000
0.104166,150.000000
0.131878,154.000000
0.163734,158.000000
0.195591,162.000000
0.227448,166.000000
0.259304,170.000000
0.291161,174.000000
0.323017,178.000000
0.354874,182.000000
0.386730,186.000000
0.418587,190.000000
0.450444,194.000000
0.518324,198.000000
0.620625,202.000000
0.722927,206.000000
0.825228,210.000000
0.927530,214.000000
1.029831,218.000000
1.132133,222.000000
1.234434,226.000000
1.336736,230.000000
1.439037,234.000000
1.541338,238.000000
1.674002,242.000000
1.932627,246.000000
2.191252,250.000000
2.449877,254.000000
2.708502,258.000000
2.967127,262.000000
3.225753,266.000000
3.484378,270.000000
3.743003,274.000000
4.001628,278.000000
4.260253,282.000000
4.518878,286.000000
5.010284,290.000000
5.534314,294.000000
6.058344,298.000000
6.582374,302.000000
7.106405,306.000000
7.630435,310.000000
8.154465,314.000000
8.678495,318.000000
9.202526,322.000000
9.726556,326.000000
10.250586,330.000000
10.969127,334.000000
11.840544,338.000000
12.711960,342.000000
13.583376,346.000000
14.454793,350.000000
15.326209,354.000000
16.197626,358.000000
17.069042,362.000000
17.940458,366.000000
18.811875,370.000000
19.683291,374.000000
20.595110,378.000000
21.632940,382.000000
22.670771,386.000000
23.708602,390.000000
24.746433,394.000000
25.784264,398.000000
27.176119,402.000000
28.567974,406.000000
29.959829,410.000000
31.351684,414.000000
32.743539,418.000000
34.135394,422.000000
35.527249,426.000000
36.919104,430.000000
38.310959,434.000000
39.702814,438.000000
41.094669,442.000000
42.486524,446.000000
44.025983,450.000000
45.713048,454.000000
47.400113,458.000000
49.087178,462.000000
50.774243,466.000000
52.461308,470.000000
54.148372,474.000000
55.835437,478.000000
57.522502,482.000000
59.209567,486.000000
60.896632,490.000000
62.583697,494.000000
64.270761,498.000000
